iter	Passed	Remaining
0	140	139964
1	141	70754
2	143	47734
3	145	36109
4	146	29166
5	147	24507
6	149	21165
7	151	18732
8	153	16895
9	155	15352
10	156	14100
11	158	13036
12	160	12176
13	161	11392
14	163	10704
15	164	10106
16	167	9677
17	170	9276
18	172	8888
19	175	8607
20	178	8322
21	182	8112
22	209	8913
23	211	8607
24	213	8326
25	215	8063
26	217	7849
27	220	7637
28	223	7486
29	225	7286
30	227	7102
31	229	6927
32	230	6762
33	232	6611
34	234	6476
35	238	6373
36	239	6242
37	250	6339
38	252	6217
39	254	6097
40	255	5985
41	257	5879
42	259	5777
43	261	5678
44	264	5612
45	266	5531
46	268	5445
47	270	5360
48	272	5279
49	274	5207
50	300	5587
51	302	5507
52	303	5429
53	306	5370
54	313	5384
55	314	5308
56	316	5239
57	318	5167
58	319	5098
59	338	5308
60	351	5408
61	353	5342
62	355	5280
63	357	5223
64	358	5158
65	360	5094
66	361	5028
67	362	4963
68	363	4900
69	364	4839
70	365	4780
71	366	4722
72	367	4668
73	368	4613
74	369	4559
75	370	4508
76	372	4466
77	373	4419
78	374	4370
79	375	4323
80	376	4276
81	377	4231
82	378	4182
83	380	4144
84	381	4106
85	382	4067
86	383	4028
87	385	3990
88	386	3961
89	388	3930
90	390	3899
91	391	3865
92	393	3833
93	394	3799
94	395	3766
95	396	3737
96	398	3705
97	399	3674
98	400	3646
99	404	3638
100	405	3613
101	407	3587
102	408	3560
103	410	3533
104	411	3507
105	412	3481
106	414	3456
107	415	3431
108	418	3418
109	419	3394
110	420	3369
111	421	3344
112	422	3318
113	423	3293
114	424	3269
115	425	3245
116	426	3220
117	427	3198
118	429	3176
119	430	3153
120	431	3136
121	432	3115
122	434	3094
123	435	3075
124	436	3056
125	437	3037
126	438	3016
127	440	2998
128	441	2979
129	442	2961
130	443	2944
131	445	2926
132	446	2912
133	448	2896
134	449	2882
135	451	2865
136	452	2847
137	453	2830
138	454	2812
139	455	2795
140	456	2780
141	457	2762
142	458	2745
143	459	2729
144	460	2716
145	462	2704
146	463	2691
147	465	2677
148	466	2663
149	467	2650
150	468	2636
151	470	2622
152	471	2608
153	472	2594
154	473	2579
155	474	2565
156	475	2555
157	477	2543
158	478	2532
159	480	2521
160	481	2507
161	482	2495
162	483	2482
163	485	2472
164	486	2461
165	487	2450
166	489	2440
167	493	2444
168	495	2434
169	496	2423
170	497	2414
171	499	2404
172	501	2395
173	502	2386
174	504	2376
175	507	2376
176	509	2369
177	510	2359
178	512	2349
179	513	2340
180	514	2330
181	516	2320
182	517	2311
183	519	2303
184	522	2301
185	524	2293
186	525	2284
187	526	2275
188	528	2266
189	529	2257
190	530	2248
191	532	2239
192	535	2239
193	536	2230
194	538	2221
195	539	2212
196	540	2203
197	542	2195
198	543	2187
199	544	2179
200	546	2171
201	547	2162
202	550	2159
203	551	2153
204	553	2145
205	554	2136
206	555	2129
207	557	2121
208	558	2112
209	559	2104
210	560	2096
211	562	2091
212	565	2090
213	568	2086
214	570	2084
215	572	2077
216	573	2070
217	575	2063
218	577	2058
219	579	2053
220	580	2046
221	581	2038
222	584	2034
223	585	2029
224	587	2023
225	588	2015
226	589	2008
227	591	2002
228	594	1999
229	596	1998
230	599	1994
231	600	1989
232	602	1982
233	604	1978
234	606	1974
235	607	1968
236	611	1967
237	613	1963
238	614	1957
239	616	1950
240	617	1944
241	618	1938
242	620	1931
243	621	1925
244	623	1921
245	625	1915
246	627	1912
247	629	1908
248	630	1903
249	632	1897
250	634	1894
251	636	1890
252	642	1896
253	645	1896
254	649	1896
255	651	1893
256	657	1901
257	660	1899
258	661	1893
259	664	1890
260	665	1883
261	666	1877
262	668	1872
